
04/04/2022 11:58:28: ExecuteNonQuery: la proprietà Connection non è stata inizializzata.
04/04/2022 11:58:28: ESEGUITO, NESSUN MESSAGGIO
29/05/2023 09:21:23: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>NL10209790152_BOYIc.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\NL10209790152_BOYIc.xml.pdf'><b>Apri</b></a> 
29/05/2023 09:21:44: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>NL10209790152_BO2FY.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\NL10209790152_BO2FY.xml.pdf'><b>Apri</b></a> 
29/05/2023 14:29:00: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT08806580968_2BAND.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT08806580968_2BAND.xml.pdf'><b>Apri</b></a> 
30/05/2023 13:46:11: ESEGUITO, NESSUN MESSAGGIO
30/05/2023 13:46:18: ESEGUITO, NESSUN MESSAGGIO
30/05/2023 13:46:25: ESEGUITO, NESSUN MESSAGGIO
30/05/2023 13:46:27: Ricezione <b>XML fatture-fornitore</b>.: Non risultano fatture ricevute per cui sia assente il contenuto XML.
30/05/2023 13:46:45: ESEGUITO, NESSUN MESSAGGIO
30/05/2023 13:46:56: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02355260981_LMskS.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02355260981_LMskS.xml.pdf'><b>Apri</b></a> 
30/05/2023 13:47:18: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT01922380041_045LK.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT01922380041_045LK.xml.pdf'><b>Apri</b></a> 
01/06/2023 08:14:21: ESEGUITO, NESSUN MESSAGGIO
01/06/2023 08:14:31: ESEGUITO, NESSUN MESSAGGIO
01/06/2023 09:14:14: ESEGUITO, NESSUN MESSAGGIO
01/06/2023 09:14:30: ESEGUITO, NESSUN MESSAGGIO
01/06/2023 11:41:52: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT0000001021160328_0N4RB.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT0000001021160328_0N4RB.xml.pdf'><b>Apri</b></a> 
01/06/2023 11:42:08: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT00865310221_N3DA6.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT00865310221_N3DA6.xml.pdf'><b>Apri</b></a> 
01/06/2023 11:42:23: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT00865310221_N3DA5.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT00865310221_N3DA5.xml.pdf'><b>Apri</b></a> 
01/06/2023 11:42:46: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>NL10209790152_CTGya.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\NL10209790152_CTGya.xml.pdf'><b>Apri</b></a> 
01/06/2023 11:43:02: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT016417907022023s_05aiv.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT016417907022023s_05aiv.xml.pdf'><b>Apri</b></a> 
01/06/2023 11:43:18: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT0526289001423150_63K5R.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT0526289001423150_63K5R.xml.pdf'><b>Apri</b></a> 
05/06/2023 07:17:02: ESEGUITO, NESSUN MESSAGGIO
05/06/2023 07:17:11: ESEGUITO, NESSUN MESSAGGIO
05/06/2023 07:17:21: ESEGUITO, NESSUN MESSAGGIO
05/06/2023 07:17:26: ESEGUITO, NESSUN MESSAGGIO
05/06/2023 07:17:31: ESEGUITO, NESSUN MESSAGGIO
05/06/2023 07:17:36: ESEGUITO, NESSUN MESSAGGIO
05/06/2023 07:18:06: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT01895030995_WKTWI.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT01895030995_WKTWI.xml.pdf'><b>Apri</b></a> 
05/06/2023 07:20:32: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT0526289001423152_963DL.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT0526289001423152_963DL.xml.pdf'><b>Apri</b></a> 
05/06/2023 07:20:45: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT03317430043_007SL.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT03317430043_007SL.xml.pdf'><b>Apri</b></a> 
05/06/2023 07:21:03: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02046570426_4MIRK.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02046570426_4MIRK.xml.pdf'><b>Apri</b></a> 
05/06/2023 07:21:17: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT08806580968_2CD35.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT08806580968_2CD35.xml.pdf'><b>Apri</b></a> 
05/06/2023 07:21:32: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT08806580968_2CCKP.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT08806580968_2CCKP.xml.pdf'><b>Apri</b></a> 
05/06/2023 07:21:48: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT00865310221_N3YEC.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT00865310221_N3YEC.xml.pdf'><b>Apri</b></a> 
05/06/2023 07:22:02: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT12281740154Z0001_F14MX.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT12281740154Z0001_F14MX.xml.pdf'><b>Apri</b></a> 
05/06/2023 07:22:22: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT01895030995_WKTWI.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT01895030995_WKTWI.xml.pdf'><b>Apri</b></a> 
05/06/2023 14:05:50: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT00865310221_N3DA6.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT00865310221_N3DA6.xml.pdf'><b>Apri</b></a> 
06/06/2023 07:46:05: ESEGUITO, NESSUN MESSAGGIO
06/06/2023 07:46:12: ESEGUITO, NESSUN MESSAGGIO
06/06/2023 08:49:29: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02087740045_006KZ.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02087740045_006KZ.xml.pdf'><b>Apri</b></a> 
06/06/2023 08:50:07: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT00534060041_n3fm6.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT00534060041_n3fm6.xml.pdf'><b>Apri</b></a> 
06/06/2023 08:50:24: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT0526289001423156_9IEOU.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT0526289001423156_9IEOU.xml.pdf'><b>Apri</b></a> 
06/06/2023 08:50:44: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02131270049_0145U.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02131270049_0145U.xml.pdf'><b>Apri</b></a> 
06/06/2023 08:53:49: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02131270049_00YES.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02131270049_00YES.xml.pdf'><b>Apri</b></a> 
06/06/2023 08:54:36: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02131270049_0105U.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02131270049_0105U.xml.pdf'><b>Apri</b></a> 
06/06/2023 08:54:51: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02131270049_010PK.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02131270049_010PK.xml.pdf'><b>Apri</b></a> 
06/06/2023 12:20:34: ESEGUITO, NESSUN MESSAGGIO
06/06/2023 12:20:46: ESEGUITO, NESSUN MESSAGGIO
06/06/2023 14:25:24: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT00865310221_N3DA5.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT00865310221_N3DA5.xml.pdf'><b>Apri</b></a> 
07/06/2023 07:42:52: ESEGUITO, NESSUN MESSAGGIO
07/06/2023 07:42:58: ESEGUITO, NESSUN MESSAGGIO
07/06/2023 07:43:01: Ricezione <b>XML fatture-fornitore</b>.: Non risultano fatture ricevute per cui sia assente il contenuto XML.
07/06/2023 07:43:12: ESEGUITO, NESSUN MESSAGGIO
07/06/2023 07:43:20: ESEGUITO, NESSUN MESSAGGIO
07/06/2023 07:43:23: ESEGUITO, NESSUN MESSAGGIO
07/06/2023 07:45:27: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT01922380041_046hr.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT01922380041_046hr.xml.pdf'><b>Apri</b></a> 
07/06/2023 07:45:53: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02355260981_LWOHc.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02355260981_LWOHc.xml.pdf'><b>Apri</b></a> 
07/06/2023 09:55:33: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT01922380041_045LK.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT01922380041_045LK.xml.pdf'><b>Apri</b></a> 
07/06/2023 09:55:41: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT01922380041_046hr.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT01922380041_046hr.xml.pdf'><b>Apri</b></a> 
08/06/2023 07:17:56: ESEGUITO, NESSUN MESSAGGIO
08/06/2023 07:18:00: ESEGUITO, NESSUN MESSAGGIO
08/06/2023 07:18:05: ESEGUITO, NESSUN MESSAGGIO
08/06/2023 07:18:09: ESEGUITO, NESSUN MESSAGGIO
08/06/2023 07:18:23: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT03852200041_00EY6.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT03852200041_00EY6.xml.pdf'><b>Apri</b></a> 
12/06/2023 07:57:23: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>NL10209790152_7NPjK.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\NL10209790152_7NPjK.xml.pdf'><b>Apri</b></a> 
12/06/2023 07:57:39: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>NL10209790152_8aBn1.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\NL10209790152_8aBn1.xml.pdf'><b>Apri</b></a> 
12/06/2023 07:58:00: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>NL10209790152_BO2FY.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\NL10209790152_BO2FY.xml.pdf'><b>Apri</b></a> 
12/06/2023 07:58:39: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>NL10209790152_BPHKp.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\NL10209790152_BPHKp.xml.pdf'><b>Apri</b></a> 
12/06/2023 08:13:46: ESEGUITO, NESSUN MESSAGGIO
12/06/2023 08:13:54: ESEGUITO, NESSUN MESSAGGIO
12/06/2023 08:14:32: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT06628860964_9C5I2.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT06628860964_9C5I2.xml.pdf'><b>Apri</b></a> 
12/06/2023 08:15:04: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02090660040_004NV.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02090660040_004NV.xml.pdf'><b>Apri</b></a> 
13/06/2023 07:17:46: ESEGUITO, NESSUN MESSAGGIO
13/06/2023 07:18:10: ESEGUITO, NESSUN MESSAGGIO
13/06/2023 08:02:44: ESEGUITO, NESSUN MESSAGGIO
13/06/2023 08:02:49: ESEGUITO, NESSUN MESSAGGIO
13/06/2023 08:02:52: ESEGUITO, NESSUN MESSAGGIO
13/06/2023 08:03:17: Ricezione <b>XML fatture-fornitore</b>.: Non risultano fatture ricevute per cui sia assente il contenuto XML.
13/06/2023 08:03:24: ESEGUITO, NESSUN MESSAGGIO
13/06/2023 12:32:52: ESEGUITO, NESSUN MESSAGGIO
13/06/2023 14:10:36: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02131270049_00YES.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02131270049_00YES.xml.pdf'><b>Apri</b></a> 
13/06/2023 14:11:06: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02131270049_0105U.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02131270049_0105U.xml.pdf'><b>Apri</b></a> 
13/06/2023 14:11:25: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT02131270049_010PK.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT02131270049_010PK.xml.pdf'><b>Apri</b></a> 
